Timestamp;.superwatch_ch00;.superwatch_ch01;.superwatch_ch02;.superwatch_ch03
249441;-44.134918;-6.435809;32.243095;66.013275
251450;-43.852810;-6.122282;32.540302;66.248924
253423;-43.570271;-5.808705;32.837185;66.483910
255418;-43.428795;-5.651844;32.985550;66.601189
257420;-43.003864;-5.181327;33.430016;66.951942
259422;-42.720039;-4.867583;33.725914;67.184952
261463;-42.435799;-4.553789;34.021492;67.417305
263427;-42.151093;-4.239908;34.316765;67.649017
265420;-42.008610;-4.082978;34.611660;67.880043
267420;-41.580528;-3.612110;34.906216;68.110382
269424;-41.294582;-3.298110;35.200466;68.340088
271421;-41.008274;-2.984124;35.494331;68.569092
273458;-40.864967;-2.827123;35.641121;68.683334
275445;-40.578011;-2.513048;35.934502;68.911346
277448;-40.146889;-2.041957;36.373840;69.252052
279436;-39.858932;-1.727825;36.666328;69.478363
281436;-39.570629;-1.413724;36.958401;69.703957
283458;-39.281891;-1.099563;37.250168;69.928894
285444;-39.137398;-0.942498;37.541512;70.153107
287445;-38.703300;-0.471255;37.832535;70.376663
289441;-38.413452;-0.157115;38.123138;70.599487
291436;-38.123226;0.157025;38.413368;70.821625
293582;-37.832577;0.471210;38.703259;71.043083
295444;-37.687134;0.628278;38.848038;71.153534
297443;-37.250210;1.099518;39.281853;71.483871
299439;-36.958492;1.413634;39.570541;71.703201
301440;-36.666412;1.727736;39.858852;71.921814
303440;-36.373924;2.041870;40.146809;72.139755
305464;-36.227570;2.355933;40.434319;72.356949
307425;-35.787922;2.670023;40.721478;72.573456
309423;-35.494415;2.984035;41.008186;72.789215
311424;-35.200508;3.298068;41.294540;73.004295
313424;-34.906300;3.612020;41.580444;73.218620
315482;-34.759064;3.768983;41.723240;73.325508
317457;-34.316807;4.239863;42.151051;73.645126
319446;-34.021576;4.553699;42.435719;73.857285
321439;-33.725964;4.867539;42.720001;74.068733
323441;-33.430061;5.181283;43.003822;74.279419
325438;-33.281986;5.338135;43.287216;74.489372
327462;-32.837227;5.808663;43.570232;74.698631
329426;-32.540344;6.122241;43.852772;74.907112
331423;-32.243095;6.435809;44.134914;75.114891
333424;-31.945574;6.749263;44.416588;75.321892
335419;-31.796694;6.905973;44.557262;75.425117
337470;-31.349543;7.376027;44.978661;75.733696
339458;-31.051085;7.689273;45.259007;75.938469
341446;-30.752274;8.002490;45.538948;76.142517
343439;-30.453205;8.315587;45.818401;76.345787
345438;-30.303558;8.472100;46.097443;76.548317
347445;-29.854124;8.941570;46.375992;76.750084
349461;-29.554165;9.254405;46.654076;76.951088
351426;-29.253864;9.567198;46.931736;77.151352
353426;-28.953323;9.879851;47.208908;77.350830
355425;-28.802944;10.036140;47.347313;77.450287
357419;-28.351339;10.504905;47.761871;77.747520
359479;-28.049904;10.817305;48.037674;77.944740
361460;-27.748236;11.129549;48.312958;78.141159
363444;-27.446297;11.441678;48.587757;78.336792
365439;-27.295177;11.597753;48.862129;78.531693
367448;-26.841604;12.065604;49.135933;78.725761
369440;-26.538816;12.377435;49.409328;78.919106
371459;-26.235809;12.689098;49.682201;79.111649
373440;-25.932545;13.000637;49.954586;79.303406
375442;-25.780769;13.156406;50.090633;79.399017
377444;-25.325203;13.623373;50.497913;79.684601
379443;-25.021133;13.934565;50.768845;79.874039
381462;-24.716862;14.245568;51.039242;80.062653
383421;-24.412348;14.556437;51.309132;80.250481
385419;-24.259953;14.711862;51.578556;80.437538
387420;-23.802551;15.177780;51.847435;80.623779
389417;-23.649920;15.488252;52.115833;80.809250
391421;-23.191816;15.798526;52.383686;80.993896
393457;-22.886080;16.108690;52.651058;81.177780
395445;-22.733150;16.263687;52.784527;81.269394
397445;-22.274027;16.728441;53.184158;81.543060
399440;-21.967623;17.038120;53.449966;81.724533
401442;-21.661047;17.347584;53.715206;81.905159
403463;-21.354214;17.656921;53.979946;82.085014
405428;-21.200739;17.811502;54.244125;82.264030
407427;-20.740007;18.274977;54.507755;82.442230
409421;-20.432549;18.583784;54.770905;82.619652
411422;-20.124935;18.892359;55.033463;82.796219
413422;-19.817076;19.200794;55.295521;82.972000
415443;-19.663097;19.354919;55.426323;83.059570
417429;-19.200823;19.817049;55.817955;83.321083
419422;-18.892433;20.124861;56.078327;83.494370
421424;-18.583858;20.432472;56.338142;83.666847
423422;-18.429453;20.586256;56.467892;83.752800
425454;-18.120604;21.047140;56.856155;84.009338
427427;-17.656948;21.354185;57.114338;84.179344
429423;-17.347656;21.660975;57.371914;84.348503
431422;-17.038193;21.967550;57.628937;84.516830
433419;-16.728516;22.273954;57.885414;84.684349
435420;-16.573639;22.427050;58.013420;84.851006
437457;-16.108715;22.886055;58.396626;85.016846
439443;-15.798600;23.191742;58.651344;85.181824
441439;-15.488279;23.497250;58.905537;85.345985
443439;-15.177855;23.802475;59.159096;85.509285
445442;-15.022585;23.955006;59.412079;85.671738
447461;-14.556509;24.412275;59.664513;85.833366
449439;-14.245645;24.716789;59.916317;85.994125
451438;-13.934591;25.021107;60.167564;86.154060
453440;-13.623447;25.325129;60.418182;86.313118
455436;-13.467825;25.477045;60.543270;86.392326
457458;-13.000711;25.932472;60.917671;86.628708
459427;-12.689175;26.235735;61.166489;86.785202
461424;-12.377464;26.538786;61.414742;86.940865
463420;-12.065679;26.841534;61.662365;87.095657
465418;-11.909742;26.992807;61.909401;87.249603
467419;-11.441707;27.446270;62.155800;87.402672
469457;-11.129574;27.748209;62.401581;87.554871
471443;-10.817284;28.049923;62.646778;87.706230
473437;-10.504933;28.351313;62.891327;87.856705
475438;-10.348720;28.501904;63.013371;87.931618
477443;-9.879926;28.953251;63.378555;88.155052
479462;-9.567274;29.253790;63.621227;88.302910
481443;-9.254481;29.554087;63.863319;88.449936
483441;-8.941644;29.854050;64.104736;88.596054
485437;-8.785192;30.003920;64.345558;88.741325
487441;-8.315660;30.453133;64.585709;88.885704
489484;-8.002520;30.752247;64.825264;89.029221
491441;-7.689348;31.051012;65.064140;89.171829
493440;-7.376100;31.349468;65.302368;89.313576
495441;-7.219401;31.498629;65.421280;89.384125
497445;-6.749341;31.945499;65.776932;89.594421
499438;-6.435838;32.243069;66.013252;89.733528
501459;-6.122317;32.540272;66.248901;89.871735
503447;-5.808736;32.837154;66.483887;90.009048
505440;-5.651876;32.985516;66.718254;90.145500
507439;-5.181358;33.429989;66.951927;90.281029
509442;-4.867567;33.725937;67.184975;90.415703
511456;-4.553775;34.021507;67.417320;90.549454
513419;-4.239939;34.316738;67.649002;90.682312
515420;-4.082958;34.464272;67.764626;90.748428
517421;-3.612096;34.906231;68.110397;90.945366
519422;-3.298096;35.200481;68.340103;91.075562
521424;-2.984111;35.494339;68.569099;91.204834
523460;-2.670048;35.787895;68.797462;91.333229
525443;-2.513031;35.934517;69.025101;91.460701
527447;-2.041943;36.373856;69.252060;91.587273
529440;-1.727811;36.666344;69.478378;91.712959
531437;-1.413710;36.958416;69.703964;91.837715
533454;-1.099547;37.250183;69.928909;91.961586
535422;-0.942485;37.395901;70.041100;92.023178
537420;-0.471287;37.832508;70.376640;92.206573
539422;-0.157100;38.123154;70.599503;92.327721
541424;0.157080;38.413418;70.821663;92.447952
543559;0.471237;38.703285;71.043106;92.567261
545440;0.628314;38.992767;71.263847;92.685661
547445;1.099535;39.281868;71.483894;92.803139
549441;1.413669;39.570576;71.703224;92.919708
551440;1.727790;39.858902;71.921852;93.035355
553441;2.041893;40.146828;72.139778;93.150085
555458;2.198937;40.290642;72.248459;93.263893
557449;2.670036;40.721493;72.573471;93.376793
559446;2.984070;41.008221;72.789246;93.488762
561435;3.298074;41.294544;73.004303;93.599808
563438;3.612046;41.580467;73.218636;93.709930
565456;3.769018;41.865971;73.432251;93.819130
567418;4.239879;42.151066;73.645142;93.927399
569429;4.553734;42.435749;73.857300;94.034752
571416;4.867544;42.720005;74.068741;94.141167
573421;5.024432;42.861980;74.174179;94.194031
575422;5.338169;43.145607;74.384514;94.299057
577455;5.808674;43.570244;74.698639;94.454834
579442;6.122274;43.852798;74.907135;94.557533
581438;6.435814;44.134926;75.114891;94.659302
583438;6.749289;44.416611;75.321907;94.760124
585439;6.906002;44.697861;75.528183;94.860016
587461;7.376038;44.978668;75.733711;94.958969
589433;7.689305;45.259033;75.938484;95.056992
591419;8.002495;45.538948;76.142517;95.154068
593420;8.315607;45.818420;76.345795;95.250214
595419;8.472132;45.957985;76.447151;95.297935
597580;8.941581;46.375996;76.750092;95.439682
599449;9.254436;46.654102;76.951103;95.532997
601444;9.567202;46.931747;77.151352;95.625374
603442;9.879873;47.208923;77.350845;95.716805
605437;10.036171;47.347336;77.549576;95.807289
607445;10.504917;47.761883;77.747536;95.896828
609460;10.817286;48.037659;77.944725;95.985428
611445;11.129548;48.312958;78.141159;96.073067
613440;11.441700;48.587780;78.336807;96.159775
615440;11.597733;48.725014;78.434349;96.202766
617440;12.065662;49.135986;78.725800;96.330322
619455;12.377467;49.409359;78.919128;96.414169
621420;12.689150;49.682247;79.111679;96.497063
623422;13.000705;49.954647;79.303444;96.579018
625420;13.156436;50.090660;79.494438;96.660004
627419;13.623430;50.497963;79.684631;96.740051
629422;13.934594;50.768875;79.874054;96.819138
631461;14.245617;51.039284;80.062683;96.897255
633442;14.556500;51.309193;80.250519;96.974434
635442;14.711891;51.443951;80.344131;97.012657
637446;15.177837;51.847481;80.623817;97.125908
639438;15.488280;52.115856;80.809273;97.200203
641459;15.798573;52.383728;80.993927;97.273544
643420;16.108707;52.651070;81.177780;97.345917
645421;16.263714;52.784550;81.360847;97.417336
647428;16.728498;53.184204;81.543098;97.487793
649418;17.038149;53.449989;81.724556;97.557289
651584;17.347628;53.715240;81.905190;97.625824
653445;17.656937;53.979958;82.085022;97.693382
655437;17.811527;54.112125;82.174644;97.726807
657449;18.275032;54.507805;82.442268;97.825630
659439;18.583811;54.770924;82.619667;97.890305
661442;18.892406;55.033501;82.796249;97.954010
663464;19.200811;55.295532;82.972015;98.016754
665441;19.354946;55.557018;83.146965;98.078522
667438;19.817057;55.817963;83.321083;98.139336
669434;20.124889;56.078350;83.494392;98.199173
671436;20.432520;56.338184;83.666878;98.258041
673461;20.739950;56.597466;83.838531;98.315933
675429;20.893587;56.726891;83.924042;98.344513
677416;21.354193;57.114346;84.179352;98.428818
679423;21.660999;57.371937;84.348526;98.483810
681425;21.967592;57.628967;84.516861;98.537819
