Timestamp;.superwatch_ch00
0;-38.123226
2020;-37.832577
4002;-37.541599
5997;-37.250210
7999;-37.104397
9994;-36.666412
11994;-36.373924
13992;-36.081123
15995;-35.787922
18001;-35.494415
20000;-35.200508
22039;-34.906300
24040;-34.611748
26002;-34.316807
27998;-34.021576
29997;-33.725964
31998;-33.430061
33997;-33.133827
36042;-32.837227
38025;-32.540344
40018;-32.243095
42017;-31.945574
44014;-31.647692
46035;-31.349543
48001;-31.051085
49998;-30.752274
51997;-30.453205
53993;-30.153790
55996;-29.854124
58037;-29.554165
60024;-29.253864
62019;-28.953323
64014;-28.652451
66015;-28.351339
68041;-28.049904
70001;-27.748236
72000;-27.446297
73997;-27.144039
75995;-26.841604
78000;-26.538816
80037;-26.235809
82022;-25.932545
84016;-25.628975
86014;-25.325203
88014;-25.021133
90035;-24.716862
92004;-24.412348
94000;-24.107544
95995;-23.802551
97999;-23.497276
99992;-23.191816
102037;-22.886080
104018;-22.580164
106012;-22.274027
108020;-21.967623
110017;-21.661047
112040;-21.354214
114001;-21.047215
115998;-20.740007
118001;-20.432549
119996;-20.124935
122050;-19.817076
124037;-19.509069
126019;-19.200823
128017;-18.892433
130014;-18.583858
132013;-18.275051
134038;-17.966110
136000;-17.656948
138003;-17.347656
140003;-17.038193
141997;-16.728516
144053;-16.418720
146034;-16.108715
148029;-15.798600
150021;-15.488279
152022;-15.177855
154017;-14.867279
156038;-14.556509
158004;-14.245645
160003;-13.934591
162000;-13.623447
164000;-13.312168
165991;-13.000711
168040;-12.689175
170024;-12.377464
172021;-12.065679
174017;-11.753728
176019;-11.441707
178044;-11.129574
180020;-10.817284
182014;-10.504933
184014;-10.192480
186014;-9.879926
188066;-9.567274
190035;-9.254481
192023;-8.941644
194016;-8.628671
196017;-8.315660
198021;-8.002520
200038;-7.689348
202023;-7.376100
204018;-7.062732
206019;-6.749341
208016;-6.435838
210039;-6.122317
212003;-5.808736
213993;-5.495050
215994;-5.181358
218000;-4.867567
220133;-4.553775
222022;-4.239939
224017;-3.926013
226015;-3.612096
228018;-3.298096
230014;-2.984111
