Timestamp;.superwatch_ch00;.superwatch_ch01;.superwatch_ch02;.superwatch_ch03
0;76.548340;46.097458;8.628660;-30.303514
1644;76.345810;45.818439;8.315629;-30.453163
3613;76.142532;45.538967;8.002514;-30.752251
5610;75.938499;45.259048;7.689318;-31.051041
7610;75.733719;44.978672;7.376045;-31.349522
9607;75.528183;44.697861;7.062700;-31.647694
11611;75.321922;44.416630;6.749311;-31.945530
13610;75.114906;44.134937;6.435833;-32.243073
15607;74.907150;43.852814;6.122288;-32.540302
17607;74.698647;43.570251;5.808684;-32.837200
19608;74.489410;43.287258;5.495015;-33.133793
21608;74.279442;43.003845;5.181307;-33.430038
23604;74.068748;42.720020;4.867559;-33.725941
25653;73.857307;42.435757;4.553741;-34.021534
27631;73.645142;42.151070;4.239884;-34.316788
29630;73.432251;41.865974;3.925982;-34.611702
31627;73.218636;41.580463;3.612041;-34.906273
33629;73.004295;41.294533;3.298062;-35.200508
35644;72.789253;41.008232;2.984083;-35.494370
37642;72.573486;40.721516;2.670064;-35.787880
39631;72.356995;40.434380;2.356002;-36.081059
41627;72.139786;40.146847;2.041912;-36.373882
43628;71.921860;39.858906;1.727802;-36.666351
45630;71.703232;39.570583;1.413676;-36.958447
47642;71.483910;39.281891;1.099563;-37.250168
49626;71.263863;38.992779;0.785410;-37.541538
51629;71.043121;38.703300;0.471258;-37.832535
53626;70.821671;38.413425;0.157091;-38.123165
55631;70.599525;38.123184;-0.157067;-38.413410
57647;70.376678;37.832554;-0.471228;-38.703274
59615;70.153160;37.541576;-0.785363;-38.992744
61606;69.928932;37.250214;-1.099509;-39.281845
63604;69.704010;36.958469;-1.413658;-39.570564
65606;69.478401;36.666367;-1.727784;-39.858891
67605;69.252106;36.373905;-2.041888;-40.146820
69637;69.025124;36.081081;-2.355978;-40.434353
71605;68.797478;35.787922;-2.670020;-40.721478
73608;68.569145;35.494389;-2.984056;-41.008205
75604;68.340126;35.200508;-3.298062;-41.294533
77604;68.110435;34.906273;-3.612041;-41.580463
79651;67.880074;34.611702;-3.925982;-41.865974
81616;67.649040;34.316788;-4.239884;-42.151070
83604;67.417358;34.021557;-4.553723;-42.435734
85606;67.184998;33.725964;-4.867533;-42.719997
87604;66.951965;33.430038;-5.181307;-43.003845
89606;66.718277;33.133793;-5.495015;-43.287258
91636;66.483948;32.837227;-5.808661;-43.570225
93611;66.248940;32.540318;-6.122264;-43.852795
95608;66.013298;32.243118;-6.435785;-44.134895
97605;65.776993;31.945578;-6.749269;-44.416592
99607;65.540031;31.647718;-7.062676;-44.697842
101641;65.302429;31.349546;-7.376018;-44.978653
103609;65.064178;31.051064;-7.689291;-45.259022
105609;64.825287;30.752274;-8.002490;-45.538948
107604;64.585777;30.453215;-8.315578;-45.818394
109612;64.345604;30.153816;-8.628613;-46.097416
111611;64.104805;29.854128;-8.941561;-46.375977
113642;63.863361;29.554138;-9.254432;-46.654095
115629;63.621296;29.253868;-9.567195;-46.931736
117629;63.378597;28.953299;-9.879869;-47.208916
119626;63.135296;28.652472;-10.192424;-47.485619
121627;62.891354;28.351343;-10.504902;-47.761871
123645;62.646790;28.049929;-10.817271;-48.037647
125611;62.401604;27.748236;-11.129540;-48.312950
127609;62.155807;27.446276;-11.441699;-48.587776
129609;61.909397;27.144041;-11.753738;-48.862125
131610;61.662388;26.841562;-12.065646;-49.135971
133695;61.414753;26.538790;-12.377459;-49.409355
135631;61.166519;26.235767;-12.689143;-49.682247
137632;60.917675;25.932472;-13.000709;-49.954651
139628;60.668228;25.628931;-13.312138;-50.226559
141622;60.418213;25.325161;-13.623413;-50.497948
143625;60.167568;25.021112;-13.934583;-50.768864
145643;59.916359;24.716843;-14.245584;-51.039253
147628;59.664536;24.412304;-14.556477;-51.309170
149628;59.412121;24.107525;-14.867229;-51.578568
151626;59.159122;23.802509;-15.177819;-51.847466
153624;58.905560;23.497280;-15.488246;-52.115822
