Timestamp;.superwatch_ch00;.superwatch_ch01;.superwatch_ch02;.superwatch_ch03
0;95.533005;76.951111;46.654110;9.254447
2472;95.392670;76.649307;46.236782;8.785131
4455;95.297935;76.447159;45.957989;8.472138
6465;95.202271;76.244255;45.678745;8.159065
8456;95.105659;76.040611;45.399071;7.845932
10458;95.008110;75.836205;45.118923;7.532695
12456;94.909622;75.631042;44.838333;7.219386
14453;94.810196;75.425148;44.557308;6.906024
16457;94.760132;75.321922;44.416626;6.749305
18461;94.608536;75.011108;43.993927;6.279058
20459;94.506317;74.802986;43.711590;5.965498
22461;94.403152;74.594124;43.428814;5.651865
24479;94.299057;74.384514;43.145607;5.338177
26440;94.194038;74.174187;42.861984;5.024442
28434;94.088081;73.963112;42.577942;4.710653
30433;93.981201;73.751312;42.293465;4.396817
32431;93.873390;73.538795;42.008579;4.082945
34433;93.764648;73.325531;41.723274;3.769022
36477;93.654999;73.111565;41.437565;3.455079
38460;93.544411;72.896873;41.151451;3.141096
40461;93.432907;72.681458;40.864925;2.827072
42457;93.320465;72.465317;40.577984;2.513018
44466;93.207123;72.248474;40.290661;2.198956
46471;93.092850;72.030914;40.002926;1.884857
48440;92.977646;71.812630;39.714794;1.570734
50440;92.861542;71.593651;39.426285;1.256618
52436;92.744514;71.373962;39.137375;0.942472
54437;92.626579;71.153572;38.848080;0.628316
56434;92.507729;70.932480;38.558407;0.314170
58475;92.387955;70.710686;38.268349;0.000003
60464;92.267273;70.488182;37.977909;-0.314158
62454;92.145691;70.265015;37.687119;-0.628296
64455;92.023193;70.041122;37.395935;-0.942451
66462;91.961601;69.928917;37.250202;-1.099524
68479;91.775475;69.591293;36.812473;-1.570714
70437;91.650246;69.365334;36.520187;-1.884833
72435;91.524117;69.138702;36.227539;-2.198935
74439;91.397095;68.911392;35.934551;-2.512994
76432;91.269157;68.683388;35.641197;-2.827048
78476;91.140327;68.454712;35.347485;-3.141072
80435;91.010597;68.225365;35.053440;-3.455052
82439;90.879974;67.995338;34.759037;-3.769013
84433;90.748444;67.764641;34.464287;-4.082933
86438;90.616020;67.533279;34.169209;-4.396814
88440;90.482712;67.301262;33.873806;-4.710629
90476;90.348503;67.068558;33.578049;-5.024421
92464;90.213394;66.835197;33.281956;-5.338165
94450;90.077415;66.601196;32.985558;-5.651832
96456;89.940529;66.366516;32.688820;-5.965466
98452;89.802765;66.131195;32.391754;-6.279037
100475;89.664108;65.895210;32.094372;-6.592551
102438;89.524567;65.658585;31.796669;-6.906000
104441;89.384140;65.421288;31.498646;-7.219380
106432;89.242844;65.183388;31.200344;-7.532662
108441;89.100662;64.944809;30.901712;-7.845893
110436;88.957588;64.705605;30.602774;-8.159054
112475;88.813644;64.465752;30.303530;-8.472127
114462;88.668823;64.225258;30.003986;-8.785120
116458;88.523125;63.984138;29.704151;-9.098026
118456;88.376564;63.742405;29.404041;-9.410816
120455;88.229126;63.500023;29.103624;-9.723544
122472;88.080811;63.257015;28.802916;-10.036167
124440;87.931625;63.013382;28.501923;-10.348699
126448;87.781578;62.769127;28.200649;-10.661122
128435;87.630661;62.524254;27.899096;-10.973445
130439;87.478897;62.278793;27.597311;-11.285609
132435;87.326256;62.032688;27.295212;-11.597711
134468;87.172745;61.785973;26.992849;-11.909697
136457;87.018379;61.538643;26.690207;-12.221569
138454;86.863152;61.290707;26.387314;-12.533316
140457;86.707069;61.042168;26.084152;-12.844941
142457;86.550140;60.793041;25.780758;-13.156411
144474;86.392349;60.543297;25.477087;-13.467783
146439;86.233696;60.292961;25.173164;-13.779020
148437;86.074203;60.042023;24.868988;-14.090117
150438;85.913857;59.790497;24.564579;-14.401073
152433;85.752663;59.538376;24.259922;-14.711893
154475;85.590630;59.285690;23.955044;-15.022543
156438;85.427750;59.032406;23.649914;-15.333065
158439;85.264015;58.778526;23.344538;-15.643438
160438;85.099449;58.524071;23.038942;-15.953657
162441;84.934029;58.269035;22.733120;-16.263720
164438;84.767799;58.013458;22.427092;-16.573593
166473;84.684357;57.885426;22.273970;-16.728500
168439;84.600708;57.757271;21.814325;-17.192904
170436;84.264038;57.243210;21.507627;-17.502302
172433;84.094452;56.985329;21.200708;-17.811531
174437;83.924034;56.726883;20.893579;-18.120584
176489;83.752808;56.467896;20.586267;-18.429432
178469;83.580734;56.208336;20.278728;-18.738127
180458;83.407845;55.948223;19.970995;-19.046635
182453;83.234116;55.687546;19.663059;-19.354958
184454;83.059601;55.426361;19.354959;-19.663054
186458;82.884232;55.164593;19.046640;-19.970985
188474;82.708069;54.902302;18.738163;-20.278698
190443;82.531075;54.639454;18.429466;-20.586231
192431;82.353271;54.376064;18.120592;-20.893570
194438;82.174644;54.112137;17.811541;-21.200699
196435;81.995216;53.847672;17.502312;-21.507614
198439;81.814972;53.582680;17.192913;-21.814323
200475;81.633934;53.317177;16.883364;-22.120789
202463;81.452087;53.051140;16.573631;-22.427052
204457;81.269424;52.784561;16.263733;-22.733107
206461;81.085960;52.517467;15.953669;-23.038933
208455;80.901703;52.249855;15.643451;-23.344532
210478;80.716637;51.981735;15.333075;-23.649895
212446;80.530800;51.713108;15.022582;-23.955011
214440;80.344147;51.443958;14.711899;-24.259911
216435;80.250511;51.174309;14.401081;-24.564569
218440;79.968468;50.904148;14.090130;-24.868980
220437;79.779449;50.633484;13.779029;-25.173155
222472;79.589630;50.362312;13.467794;-25.477079
224456;79.399048;50.090675;13.156450;-25.780720
226459;79.207664;49.818516;12.844944;-26.084148
228451;79.015503;49.545868;12.533325;-26.387304
230455;78.822556;49.272732;12.221578;-26.690197
232479;78.628838;48.999107;11.909712;-26.992836
234440;78.434341;48.724998;11.597720;-27.295208
236442;78.239082;48.450428;11.285645;-27.597279
238436;78.043053;48.175388;10.973456;-27.899086
240436;77.846237;47.899841;10.661134;-28.200638
242435;77.648666;47.623837;10.348713;-28.501907
244475;77.450310;47.347347;10.036182;-28.802904
246433;77.251205;47.070400;9.723559;-29.103613
248432;77.051338;46.793003;9.410858;-29.404005
250436;76.850708;46.515125;9.098044;-29.704136
252439;76.649315;46.236790;8.785141;-30.003971
254438;76.447166;45.958000;8.472151;-30.303514
256478;76.244263;45.678749;8.159068;-30.602753
258462;76.040604;45.399052;7.845914;-30.901691
260457;75.836205;45.118923;7.532701;-31.200310
262455;75.631050;44.838337;7.219398;-31.498632
264452;75.425148;44.557304;6.906014;-31.796652
266470;75.218498;44.275829;6.592566;-32.094349
268441;75.011108;43.993919;6.279051;-32.391739
270439;74.802986;43.711578;5.965483;-32.688805
272434;74.594131;43.428822;5.651874;-32.985523
274438;74.384521;43.145615;5.338177;-33.281940
276431;74.174179;42.861980;5.024439;-33.578033
278473;73.963112;42.577927;4.710648;-33.873783
280456;73.751305;42.293449;4.396805;-34.169216
282454;73.538780;42.008564;4.082927;-34.464298
284451;73.325546;41.723282;3.769028;-34.759022
286454;73.111565;41.437565;3.455070;-35.053429
288480;72.896866;41.151432;3.141072;-35.347485
290441;72.681442;40.864899;2.827048;-35.641193
292430;72.465324;40.577991;2.513024;-35.934528
294439;72.248474;40.290649;2.198946;-36.227531
296435;72.030922;40.002934;1.884872;-36.520153
298493;71.812645;39.714806;1.570749;-36.812435
300474;71.593658;39.426289;1.256624;-37.104355
302461;71.373962;39.137371;0.942469;-37.395912
304455;71.153572;38.848080;0.628319;-37.687092
306457;70.932480;38.558411;0.314179;-37.977890
308453;70.710686;38.268360;0.000021;-38.268318
310480;70.488205;37.977928;-0.314134;-38.558380
312440;70.265007;37.687115;-0.628302;-38.848061
314436;70.041122;37.395927;-0.942454;-39.137352
316435;69.928932;37.250214;-1.099509;-39.281845
318437;69.591293;36.812477;-1.570705;-39.714764
320436;69.365349;36.520195;-1.884821;-40.002899
322477;69.138702;36.227551;-2.198920;-40.290627
324458;68.911385;35.934551;-2.513000;-40.577961
326458;68.683395;35.641193;-2.827048;-40.864899
328456;68.454712;35.347485;-3.141072;-41.151432
330455;68.225380;35.053452;-3.455046;-41.437538
332473;67.995354;34.759048;-3.769004;-41.723259
334437;67.764648;34.464298;-4.082927;-42.008564
336431;67.533287;34.169216;-4.396805;-42.293449
338437;67.301247;33.873783;-4.710648;-42.577927
340437;67.068550;33.578033;-5.024439;-42.861980
342434;66.835213;33.281963;-5.338153;-43.145592
344477;66.601196;32.985546;-5.651844;-43.428795
346462;66.366539;32.688831;-5.965453;-43.711548
348455;66.131203;32.391762;-6.279027;-43.993896
350452;65.895226;32.094379;-6.592542;-44.275810
352456;65.658585;31.796677;-6.905991;-44.557278
354473;65.421318;31.498680;-7.219350;-44.838291
