Timestamp;.superwatch_ch00;.superwatch_ch01;.superwatch_ch02;.superwatch_ch03
0;58.651371;85.181831;98.744133;97.273544
1455;58.905529;85.345978;98.793282;97.200203
3352;59.032394;85.427734;98.841461;97.125900
5348;59.285683;85.590622;98.865173;97.050644
7344;59.538383;85.752663;98.934868;96.974426
9345;59.790497;85.913864;98.980103;96.897263
11349;60.042023;86.074196;99.024368;96.819130
13345;60.292953;86.233696;99.067665;96.740051
15350;60.543285;86.392334;99.088943;96.700142
17349;60.793026;86.550125;99.151299;96.579018
19346;61.042168;86.707069;99.191658;96.497070
21347;61.290707;86.863152;99.231041;96.414169
23346;61.538635;87.018372;99.269432;96.330330
25385;61.785961;87.172737;99.306847;96.245529
27353;62.032669;87.326241;99.343277;96.159775
29349;62.278770;87.478882;99.378738;96.073082
31345;62.524265;87.630669;99.413216;95.985428
33347;62.769135;87.781578;99.446701;95.896828
35372;63.013386;87.931625;99.463081;95.852180
37327;63.257015;88.080811;99.510742;95.716805
39324;63.500015;88.229118;99.526146;95.625374
41323;63.742393;88.376556;99.570862;95.533005
43329;63.984142;88.523125;99.599442;95.439682
45371;64.225266;88.668823;99.613358;95.345421
47372;64.465744;88.885727;99.653648;95.250214
49348;64.705597;88.957581;99.679283;95.154076
51344;64.944801;89.100647;99.703934;95.056984
53345;65.183365;89.242836;99.727600;94.958977
55352;65.421295;89.384140;99.739059;94.909622
57367;65.658569;89.524551;99.771973;94.760124
59326;65.895203;89.664101;99.792686;94.659294
61324;66.131187;89.802757;99.812408;94.557533
63329;66.366508;89.940521;99.831154;94.454834
65328;66.601189;90.077400;99.840149;94.403145
67478;66.951958;90.281044;99.865677;94.246658
69354;67.068550;90.348488;99.881462;94.141174
71350;67.301247;90.482697;99.896263;94.034752
73347;67.533279;90.616020;99.910080;93.927406
75346;67.764648;90.748444;99.916611;93.873390
77344;67.995331;90.879967;99.934746;93.709930
79370;68.225357;91.010597;99.945595;93.599808
81351;68.454704;91.140327;99.955467;93.488762
83347;68.683380;91.269150;99.964348;93.376793
85347;68.911377;91.397079;99.968414;93.263901
87341;69.138695;91.524109;99.979149;93.150093
89461;69.365326;91.712967;99.985077;93.035355
91352;69.591278;91.775459;99.990013;92.919708
93348;69.816536;91.899773;99.993958;92.803146
95351;70.041107;92.023178;99.995552;92.744514
97348;70.264992;92.145676;99.998894;92.567268
99345;70.488182;92.267265;99.999878;92.447952
101367;70.710678;92.387947;99.999870;92.327728
103329;70.932472;92.507721;99.999512;92.206589
105326;71.153572;92.626572;99.998024;92.145683
107330;71.373955;92.744507;99.995552;91.961586
109326;71.593643;92.861534;99.992096;91.837730
111374;71.812630;92.977646;99.985077;91.712967
113328;72.030899;93.092842;99.982239;91.587288
115325;72.248459;93.207100;99.975815;91.524117
117325;72.465309;93.320465;99.968414;91.333237
119326;72.681450;93.432892;99.960030;91.204849
121325;72.896866;93.544403;99.950661;91.075577
123373;73.111557;93.654991;99.934746;90.945396
125349;73.325539;93.764648;99.928955;90.814316
127347;73.538788;93.873390;99.910072;90.682343
129344;73.751320;93.981194;99.903297;90.549484
131345;73.963112;94.088074;99.881462;90.415703
133374;74.174179;94.194031;99.873695;90.348495
135323;74.384514;94.299049;99.857414;90.213387
137326;74.594116;94.403145;99.831154;90.009071
139332;74.802986;94.506310;99.812408;89.871750
141322;75.011108;94.608536;99.802673;89.733543
143325;75.218498;94.709831;99.771973;89.594444
145371;75.425140;94.810188;99.761246;89.454460
147347;75.631042;94.909622;99.727600;89.313599
149343;75.836197;95.008102;99.715889;89.171852
151343;76.040596;95.105652;99.679291;89.029236
153349;76.244255;95.202263;99.653656;88.885727
155371;76.447151;95.297935;99.640465;88.813637
157329;76.649300;95.392662;99.599442;88.596085
159327;76.850693;95.486450;99.570862;88.449951
161328;77.051323;95.579300;99.556198;88.302956
163325;77.251198;95.671204;99.526146;88.155067
165329;77.450302;95.762161;99.495102;88.006332
167369;77.648651;95.852180;99.446701;87.856720
169355;77.846230;95.941246;99.413208;87.706230
171348;78.043045;96.029373;99.378738;87.554886
173341;78.239082;96.116539;99.343285;87.402679
175353;78.434349;96.202766;99.325195;87.326256
177370;78.628838;96.288040;99.269424;87.095665
179323;78.822556;96.372368;99.231033;86.940872
181331;79.015503;96.455742;99.191650;86.785217
183327;79.207657;96.538162;99.151306;86.628708
185330;79.399040;96.619629;99.130760;86.550125
187323;79.589638;96.700150;99.067665;86.313126
189370;79.779442;96.779701;99.024376;86.154053
191350;79.968468;96.858307;98.980110;85.994133
193350;80.156693;96.935966;98.934868;85.833366
195351;80.344131;97.012650;98.911880;85.752663
197349;80.530785;97.088394;98.841454;85.509285
199376;80.716637;97.163162;98.793282;85.345978
201331;80.901695;97.236992;98.744141;85.181831
203326;81.085953;97.309845;98.694016;85.016846
205328;81.269417;97.381744;98.668587;84.934036
