Timestamp;.superwatch_ch00
0;-96.538177
1361;-96.497086
3321;-96.414177
5321;-96.330330
7325;-96.245522
9321;-96.159782
11323;-96.073074
13326;-95.985443
15325;-95.896851
17322;-95.807304
19337;-95.716820
21330;-95.625381
23327;-95.533012
25366;-95.439697
27351;-95.345428
29346;-95.250237
31343;-95.154083
33337;-95.057007
35359;-94.958984
37322;-94.860039
39319;-94.760147
41321;-94.659309
43321;-94.557556
45443;-94.454849
47347;-94.351234
49340;-94.246681
51345;-94.141182
53341;-94.034767
55344;-93.927414
57363;-93.819145
59338;-93.709961
61339;-93.599823
63339;-93.488785
65341;-93.376801
67361;-93.263916
69323;-93.150093
71323;-93.035370
73322;-92.919724
75326;-92.803154
77319;-92.685677
79357;-92.567268
81343;-92.447960
83342;-92.327744
85344;-92.206596
87347;-92.084564
89362;-91.961601
91323;-91.837738
93315;-91.712967
95321;-91.587296
97325;-91.460732
99324;-91.333237
101361;-91.204865
103342;-91.075569
105339;-90.945396
107341;-90.814331
109343;-90.682343
111360;-90.549484
113328;-90.415703
115326;-90.281067
117325;-90.145508
119320;-90.009079
121530;-89.871780
123344;-89.733559
125342;-89.594475
127346;-89.454475
129336;-89.313622
131340;-89.171890
133358;-89.029243
135347;-88.885750
137342;-88.741356
139338;-88.596107
141343;-88.449959
143363;-88.302971
145320;-88.155106
147321;-88.006340
149324;-87.856735
151324;-87.706238
153323;-87.554901
155363;-87.402702
157343;-87.249611
159340;-87.095680
161341;-86.940872
163340;-86.785233
165353;-86.628708
167324;-86.471352
169321;-86.313148
171325;-86.154060
173325;-85.994148
175325;-85.833374
177361;-85.671761
179344;-85.509315
181337;-85.345993
183334;-85.181847
185343;-85.016846
187362;-84.851036
189325;-84.684349
191318;-84.516861
193320;-84.348534
195320;-84.179352
197320;-84.009369
199363;-83.838524
201342;-83.666878
203342;-83.494408
205334;-83.321091
207345;-83.146973
209358;-82.972008
211321;-82.796249
213318;-82.619652
215325;-82.442261
217324;-82.264069
219321;-82.085022
221360;-81.905197
223345;-81.724533
225343;-81.543098
227339;-81.360855
229337;-81.177811
231360;-80.993965
233321;-80.809288
235321;-80.623840
237323;-80.437599
239318;-80.250534
241327;-80.062714
243358;-79.874077
245345;-79.684669
247343;-79.494446
249340;-79.303474
251344;-79.111710
253357;-78.919151
255325;-78.725830
257323;-78.531708
259322;-78.336838
261323;-78.141197
263522;-77.944756
265347;-77.747574
267346;-77.549591
269343;-77.350876
271339;-77.151367
273345;-76.951126
275359;-76.750122
277323;-76.548340
279319;-76.345825
281317;-76.142525
283318;-75.938507
285361;-75.733742
287324;-75.528191
289317;-75.321938
291318;-75.114906
293317;-74.907158
295317;-74.698639
297361;-74.489418
299343;-74.279465
301341;-74.068741
303340;-73.857323
305337;-73.645142
307355;-73.432266
309324;-73.218666
311318;-73.004303
313326;-72.789261
315317;-72.573471
317362;-72.356987
319320;-72.139763
321321;-71.921860
323320;-71.703247
325319;-71.483887
327324;-71.263863
329355;-71.043098
331342;-70.821671
333341;-70.599533
335340;-70.376678
337343;-70.153191
339359;-69.928940
341325;-69.704033
343321;-69.478439
345323;-69.252129
347320;-69.025169
349324;-68.797493
351362;-68.569168
353344;-68.340134
355343;-68.110466
357341;-67.880119
359340;-67.649063
361356;-67.417389
363322;-67.185005
365319;-66.951988
367321;-66.718323
369324;-66.483955
371323;-66.248970
373360;-66.013298
375341;-65.777000
377344;-65.540024
379342;-65.302437
381339;-65.064201
383360;-64.825294
385326;-64.585785
387325;-64.345589
389322;-64.104805
391322;-63.863392
393326;-63.621307
395365;-63.378628
397347;-63.135292
399338;-62.891365
401341;-62.646778
403342;-62.401615
405358;-62.155830
407325;-61.909401
409321;-61.662399
411322;-61.414749
413317;-61.166527
415326;-60.917706
417362;-60.668243
419338;-60.418217
421339;-60.167564
423338;-59.916348
425338;-59.664505
427364;-59.412109
429325;-59.159134
431319;-58.905529
433326;-58.651386
435327;-58.396626
437321;-58.141327
439359;-57.885448
441343;-57.628967
443343;-57.371990
445338;-57.114376
447343;-56.856228
449358;-56.597485
451322;-56.338223
453324;-56.078403
455316;-55.817993
457321;-55.557068
459327;-55.295555
461361;-55.033539
463342;-54.770977
465344;-54.507839
467339;-54.244198
469339;-53.979980
471425;-53.715279
473346;-53.450001
475345;-53.184235
477344;-52.917946
479339;-52.651096
481339;-52.383762
483362;-52.115868
485342;-51.847504
487347;-51.578636
489337;-51.309212
491339;-51.039322
493360;-50.768887
495324;-50.497990
497324;-50.226559
499318;-49.954666
501320;-49.682285
503320;-49.409370
505358;-49.272751
507349;-48.862125
509344;-48.587799
511338;-48.312996
513339;-48.037670
515360;-47.761909
517343;-47.485641
519343;-47.208942
521339;-46.931778
523341;-46.654110
525363;-46.376026
527320;-46.097439
529321;-45.818439
531320;-45.538944
533322;-45.259045
535321;-44.978695
537364;-44.697865
539346;-44.416630
541342;-44.134918
543341;-43.852810
545336;-43.570271
547357;-43.287258
549322;-43.003864
551325;-42.720039
553318;-42.435799
555317;-42.151093
557325;-41.866016
559361;-41.580528
561342;-41.294582
563339;-41.008274
565339;-40.721519
567345;-40.434402
569360;-40.146889
571324;-39.858932
573324;-39.570629
575325;-39.281891
577319;-38.992809
579324;-38.703300
581356;-38.413452
583339;-38.123226
585335;-37.832577
587343;-37.541599
589339;-37.250210
591356;-37.104397
593319;-36.666412
595325;-36.373924
597325;-36.081123
599326;-35.787922
601357;-35.494415
603321;-35.200508
605319;-34.906300
607323;-34.611748
609322;-34.316807
611321;-34.021576
613355;-33.725964
615341;-33.430061
617346;-33.133827
619336;-32.837227
621336;-32.540344
623358;-32.243095
625325;-31.945574
627323;-31.647692
629326;-31.349543
631322;-31.051085
633319;-30.752274
635361;-30.453205
637348;-30.153790
639340;-29.854124
641342;-29.554165
643344;-29.253864
645364;-28.953323
647324;-28.652451
649326;-28.351339
651318;-28.049904
653324;-27.748236
655320;-27.446297
657359;-27.144039
659344;-26.841604
661340;-26.538816
663337;-26.235809
665339;-25.932545
667363;-25.628975
669324;-25.325203
671322;-25.021133
673318;-24.716862
675318;-24.412348
677324;-24.107544
679356;-23.802551
681344;-23.497276
683342;-23.191816
685339;-22.886080
687340;-22.580164
689360;-22.274027
691322;-21.967623
693317;-21.661047
695326;-21.354214
697325;-21.047215
699320;-20.740007
701356;-20.432549
703344;-20.124935
705341;-19.817076
707343;-19.509069
709336;-19.200823
711358;-18.892433
713324;-18.583858
715320;-18.275051
717321;-17.966110
719316;-17.656948
721438;-17.347656
723347;-17.038193
725339;-16.728516
727349;-16.418720
729338;-16.108715
731339;-15.798600
733350;-15.488279
735327;-15.177855
737326;-14.867279
739326;-14.556509
741326;-14.245645
743438;-13.934591
745343;-13.623447
747346;-13.312168
749341;-13.000711
751341;-12.689175
753337;-12.377464
755359;-12.065679
757345;-11.753728
759340;-11.441707
761338;-11.129574
763341;-10.817284
765357;-10.504933
767321;-10.192480
769316;-9.879926
771321;-9.567274
773322;-9.254481
775370;-8.941644
777357;-8.628671
779344;-8.315660
781346;-8.002520
783339;-7.689348
785341;-7.376100
787360;-7.062732
789341;-6.749341
791341;-6.435838
793334;-6.122317
795337;-5.808736
797532;-5.495050
799353;-5.181358
801344;-4.867567
803344;-4.553775
805344;-4.239939
807346;-3.926013
809363;-3.612096
811344;-3.298096
813341;-2.984111
815334;-2.670048
817337;-2.356008
819356;-2.041943
821325;-1.727811
823322;-1.413710
825326;-1.099547
827327;-0.785421
829323;-0.471287
831360;-0.157100
833343;0.157080
835339;0.471237
837342;0.785390
839339;1.099535
841360;1.413669
843344;1.727790
845342;2.041893
847342;2.355976
849336;2.670036
851441;2.984070
853345;3.298074
855344;3.612046
857345;3.925981
859339;4.239879
861343;4.553734
863359;4.867544
865321;5.181307
867323;5.495018
869324;5.808674
871325;6.122274
873360;6.435814
875324;6.749289
877319;7.062697
879318;7.376038
881323;7.689305
883323;8.002495
885359;8.315607
887345;8.628635
889344;8.941581
891339;9.254436
893341;9.567202
895365;9.879873
897329;10.192444
899322;10.504917
901320;10.817286
903327;11.129548
905321;11.441700
907362;11.753738
909339;12.065662
911337;12.377467
913340;12.689150
915341;13.000705
917362;13.312133
919322;13.623430
921326;13.934594
923321;14.245617
925319;14.556500
927359;14.867243
929323;15.177837
931317;15.488280
933317;15.798573
935323;16.108707
937322;16.418684
939363;16.728498
941347;17.038149
943344;17.347628
945342;17.656937
947345;17.966076
949376;18.275032
951345;18.583811
953338;18.892406
955340;19.200811
957344;19.509031
959345;19.817057
961357;20.124889
963339;20.432520
965334;20.739950
967341;21.047176
969337;21.354193
971337;21.660999
973358;21.967592
975343;22.273970
977340;22.580126
979336;22.886059
981340;23.191769
983354;23.497246
985328;23.802494
987325;24.107506
989324;24.412279
991322;24.716812
993382;25.021099
995364;25.325144
997347;25.628939
999341;25.932476
1001340;26.235760
1003341;26.538784
1005354;26.841545
1007321;27.144045
1009322;27.446274
1011325;27.748230
1013323;28.049919
1015417;28.351324
1017348;28.652456
1019344;28.953299
1021340;29.253859
1023340;29.554132
1025342;29.854111
1027362;30.153793
1029342;30.453184
1031341;30.752268
1033343;31.051052
1035339;31.349527
