timestamp_us,ch00,ch01,ch02,ch03,ch04,ch05,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15
6624836298,65.1833724975586,31.200336456298828,-7.532687664031982,-45.1189079284668,-75.83618927001953,-95.00810241699219,-99.71588897705078,-89.2428207397461,-65.18336486816406,-31.20035171508789,7.53267240524292,45.11891555786133,75.83621215820312,95.00811004638672,99.71588897705078,89.24285125732422
6624837320,64.7055892944336,30.60276222229004,-8.159077644348145,-45.67875289916992,-76.24425506591797,-95.2022705078125,-99.66659545898438,-88.95758056640625,-64.70558166503906,-30.602731704711914,8.159111022949219,45.67879867553711,76.24424743652344,95.20226287841797,99.66658782958984,88.95757293701172
6624838309,64.22525024414062,30.00398063659668,-8.785146713256836,-46.236793518066406,-76.64930725097656,-95.3926773071289,-99.61335754394531,-88.6688003540039,-64.2252426147461,-30.00399398803711,8.785130500793457,46.23679733276367,76.64933013916016,95.3926773071289,99.61335754394531,88.66883087158203
6624839309,63.742393493652344,29.404035568237305,-9.410843849182129,-46.79298782348633,-77.05133819580078,-95.57929992675781,-99.55619812011719,-88.37654876708984,-63.74237060546875,-29.40402603149414,9.410852432250977,46.79301452636719,77.05133056640625,95.57930755615234,99.55619812011719,88.37654113769531
6624840312,63.25700378417969,28.802907943725586,-10.03619384765625,-47.34735107421875,-77.45032501220703,-95.76217651367188,-99.49510192871094,-88.08080291748047,-63.257015228271484,-28.802898406982422,10.036202430725098,47.347381591796875,77.4503173828125,95.76217651367188,99.4950942993164,88.08080291748047
6624841308,62.76911544799805,28.200641632080078,-10.661147117614746,-47.89985275268555,-77.84625244140625,-95.94125366210938,-99.4300765991211,-87.78156280517578,-62.76909255981445,-28.200632095336914,10.661155700683594,47.899879455566406,77.84624481201172,95.94125366210938,99.43006896972656,87.7815933227539
6624842308,62.278770446777344,27.597288131713867,-11.285656929016113,-48.450435638427734,-78.23908233642578,-96.11654663085938,-99.36112976074219,-87.47888946533203,-62.27876663208008,-27.597253799438477,11.285688400268555,48.45048904418945,78.23907470703125,96.11654663085938,99.36112976074219,87.47886657714844
6624843309,61.78594970703125,26.99281883239746,-11.909743309020996,-48.9991340637207,-78.62885284423828,-96.28804779052734,-99.28825378417969,-87.17271423339844,-61.78593444824219,-26.992834091186523,11.909728050231934,48.99913787841797,78.62887573242188,96.2880630493164,99.28824615478516,87.17273712158203
6624844308,61.29069900512695,26.387306213378906,-12.533336639404297,-49.54587173461914,-79.01551818847656,-96.45574188232422,-99.21146392822266,-86.86314392089844,-61.29067611694336,-26.387298583984375,12.533346176147461,49.5458984375,79.0155029296875,96.45574951171875,99.21146392822266,86.86312103271484
6624845306,60.79303741455078,25.7807559967041,-13.1564359664917,-50.09065246582031,-79.39903259277344,-96.61963653564453,-99.13076782226562,-86.55014038085938,-60.79302978515625,-25.78072166442871,13.15646743774414,50.09070587158203,79.3990249633789,96.61962890625,99.1307601928711,86.55012512207031
6624846305,60.29295349121094,25.173160552978516,-13.779038429260254,-50.63348388671875,-79.7794418334961,-96.77970886230469,-99.046142578125,-86.23367309570312,-60.292945861816406,-25.173175811767578,13.779023170471191,50.63349151611328,79.77946472167969,96.77972412109375,99.04613494873047,86.23370361328125
6624847305,59.79049301147461,24.564573287963867,-14.401097297668457,-51.17430877685547,-80.15670013427734,-96.93596649169922,-98.9576187133789,-85.91385650634766,-59.79048156738281,-24.564542770385742,14.401130676269531,51.17436218261719,80.15669250488281,96.93596649169922,98.95761108398438,85.91383361816406
6624848306,59.285682678222656,23.955039978027344,-15.022563934326172,-51.713096618652344,-80.53079986572266,-97.0884017944336,-98.86517333984375,-85.59062194824219,-59.28569412231445,-23.95503044128418,15.02257251739502,51.71312713623047,80.53079223632812,97.08839416503906,98.86517333984375,85.59062194824219
6624849304,58.77851867675781,23.34453773498535,-15.643461227416992,-52.24986267089844,-80.9017105102539,-97.23699188232422,-98.76882934570312,-85.26399993896484,-58.77849578857422,-23.344528198242188,15.64346981048584,52.2498893737793,80.90170288085938,97.23699951171875,98.76882934570312,85.26398468017578
6624850308,58.26903533935547,22.733112335205078,-16.26374053955078,-52.784568786621094,-81.26943969726562,-97.38175964355469,-98.66859436035156,-84.93402099609375,-58.269046783447266,-22.733104705810547,16.263750076293945,52.78459167480469,81.2694320678711,97.38175964355469,98.6685791015625,84.93402862548828
6624851307,57.75727081298828,22.120813369750977,-16.88335609436035,-53.31716537475586,-81.63391876220703,-97.52266693115234,-98.56446075439453,-84.6006851196289,-57.757259368896484,-22.12082862854004,16.88334083557129,53.31717300415039,81.63394165039062,97.52266693115234,98.564453125,84.60071563720703
6624852306,57.243202209472656,21.507619857788086,-17.5023250579834,-53.84767532348633,-81.9952163696289,-97.65972900390625,-98.45643615722656,-84.2640380859375,-57.24319076538086,-21.507587432861328,17.50235939025879,53.84772491455078,81.99520874023438,97.65972137451172,98.45642852783203,84.2640151977539
6624853305,56.72687911987305,20.89357566833496,-18.12060546875,-54.37606430053711,-82.353271484375,-97.79293823242188,-98.34451293945312,-83.92401123046875,-56.72686767578125,-20.893590927124023,18.12059211730957,54.37607192993164,82.35328674316406,97.7929458618164,98.3445053100586,83.92404174804688
6624854310,56.20833206176758,20.278730392456055,-18.738147735595703,-54.90229034423828,-82.70806884765625,-97.92227935791016,-98.22872161865234,-83.58071899414062,-56.20830535888672,-20.27872085571289,18.738157272338867,54.902313232421875,82.70806884765625,97.92228698730469,98.22871398925781,83.58070373535156
6624855307,55.68754577636719,19.66305923461914,-19.35497283935547,-55.42636489868164,-83.05960845947266,-98.04777526855469,-98.10904693603516,-83.2341079711914,-55.687557220458984,-19.66305160522461,19.35498046875,55.426387786865234,83.05960083007812,98.04776763916016,98.1090316772461,83.23411560058594
6624856305,55.1645622253418,19.046613693237305,-19.971033096313477,-55.94824981689453,-83.40786743164062,-98.16937255859375,-97.9854965209961,-82.88420867919922,-55.16453552246094,-19.04660415649414,19.971040725708008,55.94827651977539,83.4078598022461,98.16938018798828,97.9854965209961,82.88423919677734
6624857305,54.63942337036133,18.429439544677734,-20.58628273010254,-56.4679069519043,-83.7528076171875,-98.287109375,-97.85809326171875,-82.53106689453125,-54.6394157409668,-18.429407119750977,20.586315155029297,56.46794891357422,83.7528076171875,98.287109375,97.85808563232422,82.53104400634766
6624858304,54.112125396728516,17.81153678894043,-21.20071792602539,-56.98533630371094,-84.09446716308594,-98.40097045898438,-97.726806640625,-82.17462921142578,-54.11213684082031,-17.811527252197266,21.200727462768555,56.98535919189453,84.0944595336914,98.40097045898438,97.72681427001953,82.17463684082031
6624859305,53.58267593383789,17.192907333374023,-21.814342498779297,-57.50053405761719,-84.43280792236328,-98.51093292236328,-97.5916748046875,-81.81495666503906,-53.582645416259766,-17.192899703979492,21.814350128173828,57.50056076049805,84.43280029296875,98.51094055175781,97.59166717529297,81.81493377685547
6624860307,53.05112075805664,16.573623657226562,-22.427078247070312,-58.0134391784668,-84.76779174804688,-98.61701202392578,-97.45269775390625,-81.45207977294922,-53.05111312866211,-16.573593139648438,22.427112579345703,58.01348876953125,84.76778411865234,98.61701202392578,97.45269012451172,81.45205688476562
6624861305,52.5174560546875,15.953662872314453,-23.038955688476562,-58.524078369140625,-85.09944915771484,-98.71920013427734,-97.30984497070312,-81.08592987060547,-52.51744842529297,-15.953678131103516,23.038942337036133,58.524085998535156,85.0994644165039,98.71920776367188,97.3098373413086,81.08596801757812
6624862306,51.98172378540039,15.3330717086792,-23.649921417236328,-59.032405853271484,-85.42774963378906,-98.81749725341797,-97.16317749023438,-80.71663665771484,-51.981712341308594,-15.333038330078125,23.649953842163086,59.03245162963867,85.42774200439453,98.81748962402344,97.16316223144531,80.71661376953125
6624863305,51.44395065307617,14.711898803710938,-24.259931564331055,-59.53838348388672,-85.75267028808594,-98.9118881225586,-97.01265716552734,-80.34413146972656,-51.443965911865234,-14.711889266967773,24.259939193725586,59.538414001464844,85.75267028808594,98.91188049316406,97.01266479492188,80.34413146972656
6624864306,50.90412902832031,14.090120315551758,-24.869007110595703,-60.042030334472656,-86.07421875,-99.00236511230469,-96.85830688476562,-79.96845245361328,-50.90410614013672,-14.09011173248291,24.869016647338867,60.04206085205078,86.07421112060547,99.00236511230469,96.85830688476562,79.96842956542969
6624865309,50.362300872802734,13.467785835266113,-25.477100372314453,-60.543304443359375,-86.39236450195312,-99.08895111083984,-96.70014190673828,-79.58961486816406,-50.36231231689453,-13.467778205871582,25.477108001708984,60.5433349609375,86.3923568725586,99.08895111083984,96.70011901855469,79.58961486816406
6624866307,49.818504333496094,12.84494400024414,-26.084163665771484,-61.042171478271484,-86.70706939697266,-99.1716079711914,-96.53815460205078,-79.20763397216797,-49.81849670410156,-12.844959259033203,26.084148406982422,61.04218292236328,86.70709228515625,99.17161560058594,96.53814697265625,79.20767211914062
6624867306,49.27272033691406,12.221571922302246,-26.690223693847656,-61.53865051269531,-87.01837921142578,-99.25035858154297,-96.37237548828125,-78.82255554199219,-49.27271270751953,-12.221538543701172,26.69025421142578,61.5386962890625,87.01837921142578,99.25035858154297,96.37236022949219,78.8225326538086
6624868306,48.72500991821289,11.597740173339844,-27.295204162597656,-62.032676696777344,-87.32625579833984,-99.3251953125,-96.20276641845703,-78.43433380126953,-48.72502517700195,-11.59773063659668,27.295211791992188,62.03270721435547,87.32625579833984,99.32518768310547,96.20277404785156,78.43434143066406
6624869306,48.17535400390625,10.973426818847656,-27.899131774902344,-62.52427673339844,-87.63068389892578,-99.3960952758789,-96.02936553955078,-78.04302215576172,-48.17532730102539,-10.973418235778809,27.899137496948242,62.52429962158203,87.63067626953125,99.3960952758789,96.02935028076172,78.04299926757812
6624870308,47.623802185058594,10.34868049621582,-28.501955032348633,-63.013404846191406,-87.93164825439453,-99.46308898925781,-95.8521728515625,-77.64862823486328,-47.62381362915039,-10.348671913146973,28.501964569091797,63.013427734375,87.931640625,99.46308898925781,95.8521499633789,77.64863586425781
6624871305,47.07038879394531,9.723548889160156,-29.10363006591797,-63.500030517578125,-88.22911834716797,-99.5261459350586,-95.67119598388672,-77.25116729736328,-47.070377349853516,-9.723564147949219,29.103618621826172,63.50003433227539,88.22914123535156,99.5261459350586,95.67118835449219,77.25120544433594
6624872306,46.515113830566406,9.098033905029297,-29.704158782958984,-63.9841423034668,-88.52313995361328,-99.58527374267578,-95.48645782470703,-76.8506851196289,-46.51508331298828,-9.09802532196045,29.70416831970215,63.984169006347656,88.52312469482422,99.58527374267578,95.4864501953125,76.85072326660156
6624873306,45.95798110961914,8.472136497497559,-30.303537368774414,-64.46575164794922,-88.81365966796875,-99.64047241210938,-95.29793548583984,-76.4471435546875,-45.9579963684082,-8.472127914428711,30.303546905517578,64.46578216552734,88.81364440917969,99.64047241210938,95.29793548583984,76.4471435546875
6624874306,45.3990592956543,7.845927715301514,-30.901697158813477,-64.9448013305664,-89.10064697265625,-99.69173431396484,-95.10565185546875,-76.04058074951172,-45.399051666259766,-7.845942497253418,30.901681900024414,64.9448013305664,89.10066223144531,99.69173431396484,95.10564422607422,76.04061126708984
6624875305,44.838321685791016,7.219385147094727,-31.498659133911133,-65.42129516601562,-89.38414001464844,-99.73905944824219,-94.90962219238281,-75.63104248046875,-44.838314056396484,-7.219353199005127,31.49869155883789,65.42133331298828,89.3841323852539,99.73905944824219,94.90961456298828,75.63101959228516
6624876310,44.275814056396484,6.59255838394165,-32.09437561035156,-65.89521026611328,-89.66410064697266,-99.78245544433594,-94.7098159790039,-75.21846008300781,-44.27581024169922,-6.592573165893555,32.094364166259766,65.89521789550781,89.66411590576172,99.78245544433594,94.7098159790039,75.21849822998047
6624877307,43.71158218383789,5.965494632720947,-32.688804626464844,-66.36650848388672,-89.9405288696289,-99.82190704345703,-94.50630950927734,-74.80297088623047,-43.711551666259766,-5.9654860496521,32.68881607055664,66.36653900146484,89.94052124023438,99.82190704345703,94.50630187988281,74.80300903320312
6624878305,43.145599365234375,5.33817195892334,-33.28196716308594,-66.835205078125,-90.21340942382812,-99.857421875,-94.29905700683594,-74.3844985961914,-43.14561462402344,-5.338163375854492,33.28197479248047,66.8352279663086,90.21339416503906,99.857421875,94.29905700683594,74.38450622558594
6624879306,42.57791519165039,4.710638046264648,-33.87381362915039,-67.30126190185547,-90.48271942138672,-99.88898468017578,-94.08807373046875,-73.96308898925781,-42.57788848876953,-4.710629463195801,33.87382125854492,67.30128479003906,90.48271179199219,99.88898468017578,94.08806610107422,73.96306610107422
6624880307,42.00857162475586,4.082942485809326,-34.464298248291016,-67.7646484375,-90.74844360351562,-99.91661071777344,-93.8733901977539,-73.5387954711914,-42.00856399536133,-4.082910060882568,34.464332580566406,67.76468658447266,90.74842834472656,99.91661071777344,93.87338256835938,73.53876495361328
6624881305,41.43754959106445,3.455061435699463,-35.05345153808594,-68.22537231445312,-91.0105972290039,-99.94029235839844,-93.65497589111328,-73.11151885986328,-41.437538146972656,-3.4550766944885254,35.053436279296875,68.22537994384766,91.01061248779297,99.94029235839844,93.65496826171875,73.11156463623047
6624882305,40.86488723754883,2.8270444869995117,-35.641212463378906,-68.68339538574219,-91.2691650390625,-99.96002960205078,-93.43289947509766,-72.68144226074219,-40.86488342285156,-2.827011823654175,35.64124298095703,68.68344116210938,91.26914978027344,99.96002960205078,93.4328842163086,72.68141174316406
6624883305,40.2906379699707,2.198939323425293,-36.2275505065918,-69.13870239257812,-91.52412414550781,-99.97581481933594,-93.20710754394531,-72.24844360351562,-40.2906494140625,-2.1989307403564453,36.22755813598633,69.13872528076172,91.52411651611328,99.97581481933594,93.20711517333984,72.24845123291016
6624884306,39.71477508544922,1.570723533630371,-36.812477111816406,-69.59129333496094,-91.77547454833984,-99.98766326904297,-92.97764587402344,-71.81260681152344,-39.714744567871094,-1.5707148313522339,36.81248474121094,69.59131622314453,91.77546691894531,99.98766326904297,92.97763061523438,71.81258392333984
6624885305,39.13736343383789,0.9424697756767273,-37.395931243896484,-70.0411148071289,-92.02317810058594,-99.99555969238281,-92.74452209472656,-71.37396240234375,-39.13735580444336,-0.9424371719360352,37.39596176147461,70.04115295410156,92.02317810058594,99.99555969238281,92.74451446533203,71.37393951416016
6624886306,38.55841064453125,0.3141787350177765,-37.9779052734375,-70.4881820678711,-92.26727294921875,-99.99950408935547,-92.50772857666016,-70.9324722290039,-38.55842208862305,-0.3141700029373169,37.97791290283203,70.48820495605469,92.26726531982422,99.99950408935547,92.50769805908203,70.93247985839844
6624887309,37.97791290283203,-0.31414854526519775,-38.558406829833984,-70.9324722290039,-92.50772857666016,-99.99950408935547,-92.26727294921875,-70.48817443847656,-37.97787857055664,0.31415730714797974,38.55841064453125,70.9324951171875,92.50772094726562,99.99950408935547,92.26726531982422,70.48822021484375
6624888307,37.395912170410156,-0.9424633979797363,-39.13738250732422,-71.37396240234375,-92.74452209472656,-99.99555969238281,-92.02317810058594,-70.04109954833984,-37.39592742919922,0.9424721598625183,39.13739013671875,71.37399291992188,92.74451446533203,99.99555969238281,92.02318572998047,70.04110717773438
6624889305,36.812461853027344,-1.570717215538025,-39.71479034423828,-71.8126220703125,-92.97764587402344,-99.98766326904297,-91.77545166015625,-69.59125518798828,-36.81245422363281,1.5707021951675415,39.714778900146484,71.81263732910156,92.97765350341797,99.98766326904297,91.77544403076172,69.59130096435547
6624890307,36.22753143310547,-2.1989328861236572,-40.290653228759766,-72.24846649169922,-93.20710754394531,-99.97581481933594,-91.52412414550781,-69.13870239257812,-36.22752380371094,2.198965549468994,40.29068374633789,72.24850463867188,93.20709991455078,99.97581481933594,91.52410888671875,69.13867950439453
6624891305,35.64117431640625,-2.827061653137207,-40.864925384521484,-72.68145751953125,-93.43289947509766,-99.96002960205078,-91.2691421508789,-68.68334197998047,-35.64116668701172,2.8270466327667236,40.86491012573242,72.68146514892578,93.43290710449219,99.96002960205078,91.26912689208984,68.68339538574219
6624892305,35.05343246459961,-3.4550552368164062,-41.437564849853516,-73.11155700683594,-93.65499877929688,-99.94029235839844,-91.0105972290039,-68.22534942626953,-35.053401947021484,3.455064058303833,41.43757247924805,73.11157989501953,93.65498352050781,99.94029235839844,91.01058959960938,68.22539520263672
6624893305,34.46428298950195,-4.0829362869262695,-42.00858688354492,-73.5387954711914,-93.8733901977539,-99.91661071777344,-90.74844360351562,-67.7646255493164,-34.464298248291016,4.082944393157959,42.00859832763672,73.538818359375,93.8733901977539,99.91661071777344,90.74844360351562,67.76463317871094
6624894305,33.873775482177734,-4.710655689239502,-42.57795333862305,-73.96312713623047,-94.08808898925781,-99.88898468017578,-90.48269653320312,-67.30122375488281,-33.873741149902344,4.710664749145508,42.57796096801758,73.96315002441406,94.08808135986328,99.88898468017578,90.4826889038086,67.30120086669922
6624895305,33.28194808959961,-5.338165760040283,-43.14561462402344,-74.38451385498047,-94.29905700683594,-99.857421875,-90.21340942382812,-66.83519744873047,-33.281944274902344,5.338197708129883,43.14564514160156,74.38455963134766,94.29904174804688,99.857421875,90.21339416503906,66.83517456054688
6624896305,32.68878936767578,-5.965488433837891,-43.71159744262695,-74.80298614501953,-94.50630950927734,-99.82190704345703,-89.94050598144531,-66.3664779663086,-32.68878173828125,5.965473651885986,43.711585998535156,74.80299377441406,94.50631713867188,99.8218994140625,89.94049072265625,66.36651611328125
6624897305,32.094337463378906,-6.592576026916504,-44.27585220336914,-75.21851348876953,-94.7098388671875,-99.78245544433594,-89.66410064697266,-65.89519500732422,-32.094329833984375,6.592608451843262,44.27587890625,75.21855163574219,94.70983123779297,99.78245544433594,89.66409301757812,65.89517211914062
6624898310,31.49864387512207,-7.219379425048828,-44.838340759277344,-75.63104248046875,-94.90962219238281,-99.73905944824219,-89.38414001464844,-65.42127990722656,-31.498655319213867,7.219388484954834,44.83834457397461,75.63107299804688,94.90961456298828,99.73905944824219,89.38414764404297,65.4212875366211
6624899307,30.901702880859375,-7.845898151397705,-45.39905548095703,-76.04058074951172,-95.10565185546875,-99.69173431396484,-89.10063934326172,-64.94477844238281,-30.901695251464844,7.845882415771484,45.39904022216797,76.04060363769531,95.10565185546875,99.69173431396484,89.10063171386719,64.94482421875
6624900305,30.30352210998535,-8.47213077545166,-45.9579963684082,-76.44717407226562,-95.29793548583984,-99.64046478271484,-88.81365203857422,-64.46575164794922,-30.30351448059082,8.472162246704102,45.95802688598633,76.44719696044922,95.29792785644531,99.64047241210938,88.81363677978516,64.46572875976562
6624901303,29.704166412353516,-9.098004341125488,-46.515106201171875,-76.8506851196289,-95.48645782470703,-99.58527374267578,-88.52313232421875,-63.9841423034668,-29.704179763793945,9.098012924194336,46.51511764526367,76.85071563720703,95.4864501953125,99.58527374267578,88.52310180664062,63.984153747558594
6624902303,29.10361671447754,-9.723543167114258,-47.07040023803711,-77.2511978149414,-95.67121124267578,-99.5261459350586,-88.22911834716797,-63.500003814697266,-29.10358238220215,9.723551750183105,47.070411682128906,77.251220703125,95.67120361328125,99.52613830566406,88.22911071777344,63.500057220458984
